Protein Accession	InterPro Entry	Start 1	End 1	Start 2	End 2	Start 3	End 3	Start 4	End 4	Start 5	End 5	Start 6	End 6	Start 7	End 7	Start 8	End 8	Start 9	End 9	Start 10	End 10	Start 11	End 11	Start 12	End 12	Start 13	End 13	Start 14	End 14	Start 15	End 15	Start 16	End 16	Start 17	End 17
P11277	SM00150	305	411	425	525	531	634	640	740	746	845	851	951	957	1058	1064	1165	1171	1271	1277	1376	1382	1475	1481	1581	1587	1687	1693	1794	1800	1900	1906	2006	2012	2130
P15508	cd00176	311	520	522	734	633	840	737	946	954	1160	1162	1371	1477	1682	1683	1892	1895	2061	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M3VZY4	SM00150	305	411	425	525	531	634	640	740	746	845	851	951	957	1058	1064	1165	1171	1271	1277	1376	1382	1475	1481	1581	1587	1687	1693	1794	1800	1900	1906	2006	2012	2190
A0A5S6NN15	cd00176	334	546	444	658	662	869	766	975	977	1189	1296	1498	1403	1595	1596	1808	1809	2031	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
A0A151MMY8	SM00150	347	453	467	567	573	676	682	782	788	887	893	993	999	1100	1106	1207	1213	1313	1319	1418	1424	1520	1526	1626	1632	1732	1738	1839	1845	1945	1951	2051	2057	2260
H2M6X9	SM00150	307	413	427	527	533	636	642	742	748	847	853	953	959	1060	1066	1168	1174	1274	1280	1379	1385	1485	1491	1595	1601	1701	1707	1808	1814	1914	1920	2020	2026	2144
