Protein Accession	InterPro Entry	Start 1	End 1	Start 2	End 2
Q02201	PF01237	54	334	N/A	N/A
P38755	PF01237	54	334	N/A	N/A
A0A0D2X3Z7	PF01237	348	689	N/A	N/A
A0A0D2VT04	PF01237	22	299	N/A	N/A
A0A0D2U5K1	PF01237	413	766	N/A	N/A
Q9H0X9	PF01237	374	711	N/A	N/A
Q9BZF1	PF01237	410	745	N/A	N/A
Q96SU4	PF01237	378	671	677	725
Q9BXB4	PF01237	373	680	685	738
Q9BXB5	PF01237	403	704	706	762
B3SBK6	PF01237	220	561	N/A	N/A
B3RLE9	PF01237	317	600	602	655
